,weapon,map,distance,killer name
437,Punch,MIRAMAR,2628.7389572466113,huang-shang0
438,P92,MIRAMAR,9015.80435127722,tianyikou
439,P1911,MIRAMAR,4616.992019462997,ColdMonar
440,P92,MIRAMAR,6574.489794725139,K3V1N
441,Punch,MIRAMAR,5142.201369216982,Right_Back_atcha
442,P92,MIRAMAR,6536.011014772313,K3V1N
443,P92,MIRAMAR,9008.056869052798,tianyikou
444,Hit by Car,MIRAMAR,8818.231679935963,AO1904
445,Punch,MIRAMAR,5093.440843241629,Natas_M4
446,Punch,MIRAMAR,4659.039943904538,ily_1
447,P1911,MIRAMAR,8638.65707159172,ob3s-
448,Hit by Car,MIRAMAR,3887.315277166621,report-in
449,R45,MIRAMAR,3808.173919224016,MajorLeagueWobs
450,Hit by Car,MIRAMAR,4443.313653569147,jeremy007
451,Punch,MIRAMAR,4738.9310393358755,Liangzhen666
452,Punch,MIRAMAR,4484.679761919462,Rando-_-Commando
453,Punch,MIRAMAR,6915.683429832875,Liangzhen666
454,P92,MIRAMAR,4305.645033570696,WinterBear2017
455,P1911,MIRAMAR,3838.493714258759,min031624
456,P92,MIRAMAR,4288.971228323408,JuventinoOficial
457,Punch,MIRAMAR,4414.893422290056,BaconAuteur
458,Punch,MIRAMAR,4302.838119542263,Accompany_55
459,P92,MIRAMAR,4390.821956304879,Liangzhen666
460,Punch,MIRAMAR,4482.512458864671,Andyzhengdahua
461,Punch,MIRAMAR,4504.103713406808,Andyzhengdahua
462,Punch,MIRAMAR,3260.2681615960673,XKeyen
463,Punch,MIRAMAR,5617.518063902955,shenxianwyyw
464,Punch,MIRAMAR,3264.855829236568,XKeyen
465,Punch,MIRAMAR,6292.552031926157,NortiaN
466,P92,MIRAMAR,2535.8412444593214,4Dwarves
467,P92,MIRAMAR,2117.272818131145,88885282
468,Hit by Car,MIRAMAR,3509.358026607288,Lostkause
469,Hit by Car,MIRAMAR,4547.253527757717,GovernmentHando
