,weapon,map,distance,killer name
12942,Punch,ERANGEL,5560.9717815418735,cnj123zhu
12943,Punch,ERANGEL,8362.841149223152,jianGGANDY
12944,Punch,ERANGEL,7630.386259412101,sunshihao58
12945,Hit by Car,ERANGEL,3885.5573095660297,Kimchi-Hunter
12946,Punch,ERANGEL,3870.5710256947873,dashes-ss
12947,Punch,ERANGEL,4145.3130363930295,SargentPickle
12948,Punch,ERANGEL,8571.894601995524,daichengyong
12949,Punch,ERANGEL,7176.515136310938,April-Liberty
12950,Punch,ERANGEL,8543.7975417745,daichengyong
12951,Pan,ERANGEL,6281.440814598908,Zx941211
12952,Punch,ERANGEL,3336.790261932116,babyrunrun
12953,Punch,ERANGEL,4945.909284468731,CrystaLBlacK
12954,Punch,ERANGEL,7797.551689511266,WlSatan
12955,Punch,ERANGEL,3728.336523561815,light_up_the_L
12956,Punch,ERANGEL,5339.090121933512,Lqqqqq7
12957,Punch,ERANGEL,6303.983141273856,Chth0lly
12958,Punch,ERANGEL,6323.673141001596,Chth0lly
12959,Punch,ERANGEL,6302.5619571544075,Chth0lly
12960,Punch,ERANGEL,6126.850183995036,cccccccbig
12961,Punch,ERANGEL,4275.113368461941,ggisyourbaba
12962,Punch,ERANGEL,2636.105905198993,MRBUCKETHEAD2000
12963,Punch,ERANGEL,5314.618515942607,GrandMasterHard
12964,Punch,ERANGEL,3386.8077868802943,KidSlicer
12965,Punch,ERANGEL,3398.5577575465745,KidSlicer
12966,Punch,ERANGEL,3384.4667177813994,KidSlicer
12967,Punch,ERANGEL,4841.008650941455,DAGANGwUyanzu
